NumShrinks,loss_pol_surr,loss_pol_klpen,loss_pol_entpen,loss_vf_loss,loss_kl,loss_ent,ev_tdlam_before,EpRewMean,EpLenMean,EpThisIter,EpisodesSoFar,TimestepsSoFar,TimeElapsed
1,-0.0407643407889,4.19837850529e-05,0.0,0.39392966032,0.0279891897371,4.87575340271,0.0558597445488,150.436200677,333.80952381,21.0,21.0,7010.0,3.2211315631866455
1,-0.0493295456981,3.70358259829e-05,0.0,0.308234340278,0.0164603677258,4.87575340271,0.590468019247,235.348702643,333.833333333,24.0,45.0,15022.0,6.380159854888916
1,-0.0507694518674,5.47374242501e-05,0.0,0.276816470549,0.0162184968212,4.87575340271,0.634217947721,260.653266111,370.875,24.0,69.0,23923.0,9.163611650466919
1,-0.0449962959974,8.45569902594e-05,0.0,0.335102556623,0.0167026152048,4.87575340271,0.607264429331,130.891568527,312.28,25.0,94.0,31730.0,12.140025854110718
1,-0.0378685319447,0.000190547260672,0.0,0.35960908304,0.0250926434383,4.87575340271,0.799920037389,213.051304124,336.583333333,24.0,118.0,39808.0,15.178861141204834
1,-0.0483255739164,9.4414995317e-05,0.0,0.14867878193,0.0124332503983,4.87575340271,0.852841049433,192.104187305,380.523809524,21.0,139.0,47799.0,18.36959743499756
1,-0.0468161991557,0.000116878986091,0.0,0.239010197285,0.0153914713665,4.87575340271,0.624286979437,176.631514219,310.678571429,28.0,167.0,56498.0,21.50272488594055
1,-0.0403188858181,0.000185192422691,0.0,0.154827455,0.0162583203783,4.87575340271,0.79804302752,397.946326066,522.625,16.0,183.0,64860.0,24.252909421920776
1,-0.0435595757081,0.000301356353475,0.0,0.292127394117,0.0176376848394,4.87575340271,0.708801776171,220.085425313,310.407407407,27.0,210.0,73241.0,27.010563373565674
1,-0.04433150556,0.000221005920594,0.0,0.15116182965,0.0129349614363,4.87575340271,0.761860281229,279.676442061,474.266666667,15.0,225.0,80355.0,30.36200261116028
1,-0.0457338809065,0.00021864145765,0.0,0.148741587007,0.0127965748543,4.87575340271,0.779903411865,152.948690854,340.269230769,26.0,251.0,89202.0,33.68047785758972
1,-0.0479087426938,0.000428620522598,0.0,0.229039701866,0.0167241066665,4.87575340271,0.782585114241,236.273991819,328.884615385,26.0,277.0,97753.0,36.44197678565979
1,-0.0466968879919,0.000323453517694,0.0,0.146752311499,0.0126206535788,4.87575340271,0.730342209339,175.125438278,362.0,19.0,296.0,104631.0,39.50753307342529
1,-0.0459827137965,0.000387857949363,0.0,0.131193971727,0.0151336143972,4.87575340271,0.915422663093,274.004624845,437.05,20.0,316.0,113372.0,43.28129506111145
1,-0.0495518204625,0.000326392640773,0.0,0.198538798839,0.0127353336211,4.87575340271,0.876131482422,341.45580091,483.411764706,17.0,333.0,121590.0,46.139321088790894
1,-0.0452119306283,0.00032682668234,0.0,0.162131304329,0.0127522691546,4.87575340271,0.897243387997,395.915324211,480.764705882,17.0,350.0,129763.0,48.97879242897034
